0,1,2,3
80783132.0,16538227,8500,2026-02-27T03:13:49Z
80783112.0,16544002,1400,2026-02-27T03:13:49Z
80783112.0,16544003,1600,2026-02-27T03:13:49Z
80783112.0,16093810,300,2026-02-27T03:13:49Z
80783112.0,16538227,4500,2026-02-27T03:13:49Z
80783103.0,16093810,300,2026-02-27T03:13:49Z
80783103.0,16538227,7500,2026-02-27T03:13:49Z
80783092.0,16093810,300,2026-02-27T03:13:49Z
80783092.0,16544003,1600,2026-02-27T03:13:49Z
80783092.0,16538227,18000,2026-02-27T03:13:49Z
80783082.0,16093810,500,2026-02-27T03:13:49Z
80783082.0,16544003,1600,2026-02-27T03:13:49Z
80783082.0,16538227,12000,2026-02-27T03:13:49Z
80783074.0,16093810,300,2026-02-27T03:13:49Z
80783074.0,16538227,4500,2026-02-27T03:13:49Z
80783074.0,16544002,1200,2026-02-27T03:13:49Z
80783066.0,16093810,300,2026-02-27T03:13:49Z
80783066.0,16538227,4500,2026-02-27T03:13:49Z
80783066.0,16544002,1200,2026-02-27T03:13:49Z
80775916.0,16093810,9500,2026-02-26T22:53:35Z
80775916.0,18429545,8500,2026-02-26T22:53:35Z
80775907.0,16093810,9500,2026-02-26T22:53:35Z
80775907.0,18429545,8500,2026-02-26T22:53:35Z
80774011.0,18429545,13500,2026-02-26T21:32:21Z
80774001.0,16544003,1300,2026-02-26T21:32:21Z
80774001.0,18429545,5500,2026-02-26T21:32:21Z
80773992.0,18429545,12500,2026-02-26T21:32:21Z
80773985.0,18429545,12500,2026-02-26T21:32:21Z
80773980.0,16544003,1300,2026-02-26T21:32:21Z
80773980.0,18429545,93280,2026-02-26T21:32:21Z
80773973.0,16544003,1300,2026-02-26T21:32:21Z
80773973.0,18429545,124700,2026-02-26T21:32:21Z
80773968.0,16544003,1300,2026-02-26T21:32:21Z
80773968.0,18429545,93280,2026-02-26T21:32:21Z
80761302.0,18429545,13500,2026-02-26T19:30:42Z
80761302.0,16544003,1800,2026-02-26T19:30:42Z
80761272.0,18429545,13500,2026-02-26T19:30:42Z
80761272.0,16544003,1800,2026-02-26T19:30:42Z
80760003.0,18429545,17500,2026-02-26T19:03:19Z
80760003.0,16544003,4600,2026-02-26T19:02:59Z
